[22:26:46] upd 142/200 | 0.53s | steps=8192 | loss=0.0702 pi=-0.0275 v=0.1882 ent=0.8005 | frontier=on
[22:26:47] upd 143/200 | 0.53s | steps=8192 | loss=0.1102 pi=0.0103 v=0.1928 ent=0.7781 | frontier=on
[22:26:47] upd 144/200 | 0.53s | steps=8192 | loss=0.0997 pi=0.0015 v=0.1892 ent=0.7910 | frontier=on
[22:26:48] upd 145/200 | 0.53s | steps=8192 | loss=0.0800 pi=-0.0230 v=0.1985 ent=0.7812 | frontier=on
[22:26:48] upd 146/200 | 0.53s | steps=8192 | loss=0.0991 pi=-0.0056 v=0.2021 ent=0.7706 | frontier=on
[22:26:49] upd 147/200 | 0.53s | steps=8192 | loss=0.0968 pi=-0.0124 v=0.2108 ent=0.7627 | frontier=on
[22:26:49] upd 148/200 | 0.53s | steps=8192 | loss=0.1339 pi=0.0297 v=0.2012 ent=0.7655 | frontier=on
[22:26:50] upd 149/200 | 0.54s | steps=8192 | loss=0.1020 pi=0.0022 v=0.1920 ent=0.7661 | frontier=on
[22:26:50] upd 150/200 | 0.55s | steps=8192 | loss=0.1047 pi=0.0026 v=0.1969 ent=0.7664 | frontier=on
[22:26:51] upd 151/200 | 0.53s | steps=8192 | loss=0.1013 pi=0.0015 v=0.1918 ent=0.7552 | frontier=on
[22:26:52] upd 152/200 | 0.53s | steps=8192 | loss=0.0991 pi=-0.0002 v=0.1916 ent=0.7712 | frontier=on
[22:26:52] upd 153/200 | 0.53s | steps=8192 | loss=0.0943 pi=-0.0101 v=0.2013 ent=0.7564 | frontier=on
[22:26:53] upd 154/200 | 0.52s | steps=8192 | loss=0.0747 pi=-0.0291 v=0.2004 ent=0.7860 | frontier=on
[22:26:53] upd 155/200 | 0.53s | steps=8192 | loss=0.1233 pi=0.0274 v=0.1838 ent=0.7587 | frontier=on
[22:26:54] upd 156/200 | 0.53s | steps=8192 | loss=0.0854 pi=-0.0093 v=0.1821 ent=0.7701 | frontier=on
[22:26:54] upd 157/200 | 0.53s | steps=8192 | loss=0.0437 pi=-0.0674 v=0.2148 ent=0.7736 | frontier=on
[22:26:55] upd 158/200 | 0.55s | steps=8192 | loss=0.1056 pi=0.0048 v=0.1943 ent=0.7865 | frontier=on
